athlete_id,athlete_name,event_date,event_name,race_category,distance,finish_status,finish_position,field_size,finish_pct,total_time,swim_time,bike_time,run_time
95,Blake Harris,2025-03-22,2025 Americas Triathlon Cup La Paz,continental_cup,sprint,FINISH,28.0,69,0.4057971014492754,00:55:02,00:11:13,00:27:15,00:15:47
95,Blake Harris,2025-03-28,2025 Americas Triathlon Cup Miami,continental_cup,sprint,FINISH,17.0,58,0.29310344827586204,00:51:14,00:08:51,00:25:10,00:16:09
95,Blake Harris,2025-05-31,2025 Americas Triathlon Cup Salinas,continental_cup,sprint,FINISH,6.0,41,0.14634146341463414,00:53:47,00:10:40,00:27:23,00:14:14
95,Blake Harris,2025-06-07,2025 Americas Triathlon Championships Calima,championship,standard,FINISH,11.0,70,0.15714285714285714,01:55:35,00:18:59,00:57:13,00:36:16
95,Blake Harris,2025-06-07,2025 Americas Triathlon Championships Calima,championship,standard,FINISH,5.0,38,0.13157894736842105,01:55:35,00:18:59,00:57:13,00:36:16
95,Blake Harris,2025-07-12,2025 Americas Triathlon Cup Magog,continental_cup,sprint,FINISH,35.0,70,0.5,00:57:52,00:09:21,00:30:26,00:17:22
95,Blake Harris,2025-07-19,2025 Americas Triathlon Cup Montreal,continental_cup,sprint,FINISH,32.0,70,0.45714285714285713,00:53:24,00:09:27,00:26:42,00:16:07
95,Blake Harris,2025-08-09,2025 Americas Triathlon Cup Kelowna,continental_cup,sprint,FINISH,20.0,63,0.31746031746031744,00:54:49,00:10:10,00:27:56,00:15:35
95,Blake Harris,2025-08-20,2025 Asuncion Junior Pan-American Games,championship,sprint,FINISH,4.0,32,0.125,00:54:51,00:10:51,00:28:00,00:14:53
95,Blake Harris,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,standard,FINISH,43.0,59,0.7288135593220338,01:52:50,00:17:54,00:57:58,00:35:41
95,Blake Harris,2025-11-02,2025 World Triathlon Cup Vina del Mar,other,sprint,FINISH,30.0,65,0.46153846153846156,00:51:04,00:08:46,00:25:24,00:15:27
95,Blake Harris,2025-11-09,2025 World Triathlon Cup San Pedro de la Paz,other,sprint,FINISH,44.0,66,0.6666666666666666,00:56:56,00:08:51,00:30:27,00:16:09
95,Blake Harris,2025-11-15,2025 World Triathlon Cup Florianopolis,other,sprint,FINISH,30.0,64,0.46875,00:55:44,00:10:24,00:28:01,00:15:50
97,Sullivan Middaugh,2024-03-08,2024 Americas Triathlon Championships Miami,championship,standard,FINISH,3.0,38,0.07894736842105263,01:46:51,00:20:01,00:52:23,00:33:21
97,Sullivan Middaugh,2024-03-08,2024 Americas Triathlon Championships Miami,championship,standard,FINISH,11.0,70,0.15714285714285714,01:46:51,00:20:01,00:52:23,00:33:21
97,Sullivan Middaugh,2024-03-17,2024 Americas Triathlon Cup Barbados,continental_cup,sprint,FINISH,4.0,23,0.17391304347826086,00:56:05,00:10:18,00:28:39,00:16:37
97,Sullivan Middaugh,2024-05-04,2024 Americas Triathlon Cup Calima,continental_cup,sprint,FINISH,1.0,33,0.030303030303030304,00:57:06,00:10:28,00:27:31,00:15:37
97,Sullivan Middaugh,2024-07-13,2024 Americas Triathlon Cup Magog,continental_cup,sprint,FINISH,6.0,64,0.09375,00:52:00,00:09:35,00:25:59,00:15:56
97,Sullivan Middaugh,2024-08-10,2024 Americas Triathlon Cup and Central America Caribbean Championships Punta Cana,championship,sprint,FINISH,1.0,66,0.015151515151515152,00:54:54,00:09:54,00:27:37,00:16:11
97,Sullivan Middaugh,2024-08-24,2024 Americas Triathlon Cup Edmonton,continental_cup,sprint,FINISH,2.0,35,0.05714285714285714,00:50:08,00:07:38,00:24:48,00:15:58
